id,text,date,truthRating,ratingName,author,headline,named_entities_claim,named_entities_article,keywords,source,sourceURL,link,language
http://data.gesis.org/claimskg/claim_review/0b7ea833-4928-5405-b0e0-12b2b31482b6,Ted Cruz said that veterans should start selling cookies in order to raise funds.,Unknown,1,FALSE,Unknown,"Ted Cruz: Vets Should Sell Cookies for Funding, Like Girl Scouts","David Nelson,James Morrison,John Scalzi,Republican,Ted Cruz,USA Today,fake news,fake news site,fake news web,the Internet",Ted Cruz,"ASP Article, Not Necessarily The News",snopes,http://www.snopes.com,https://www.snopes.com/fact-check/cruz-cookies/,English
http://data.gesis.org/claimskg/claim_review/b1f0ccba-1f2f-5e3f-b2a3-827a4f21dc1d,'The Georgia Lottery Corp. has only once in the past 16 years paid out the agreed upon 35 percent of proceeds to the account which funds the HOPE scholarship.',2011-03-02,1,FALSE,Allie McCullen,Luck runs out for student on lottery claim,"Georgia Lottery,HOPE scholarship,Mega Millions,PolitiFact,The New York Times,University of Georgia,downtown Atlanta","Georgia Lottery,HOPE scholarship",Education,politifact,http://www.politifact.com,http://www.politifact.com/georgia/statements/2011/apr/27/allie-mccullen/luck-runs-out-student-lottery-claim/,English
http://data.gesis.org/claimskg/claim_review/9c52e9fc-3231-52b6-944c-94ca5f80abd5,Panda Express will be celebrating its 15th anniversary by offering discounted and free food on 19 November 2008.,Unknown,1,FALSE,Unknown,Panda Express 15th Anniversary Offer,"Los Angeles Times,Panda Express,Panda Inn,Wendy’s,the chain",Panda Express,"ASP Article, something for nothing",snopes,http://www.snopes.com,https://www.snopes.com/fact-check/panda-express/,English
http://data.gesis.org/claimskg/claim_review/ad4543c1-9a8b-59b6-b68f-0c5f2a8ab3ee,'There’s no money' for Planned Parenthood in the bill that would keep the government open.,2015-09-27,3,TRUE,Tom Cole,Is there Planned Parenthood funding in the bill that stops a government shutdown?,"Children’s Health Insurance Program,Fox News Sunday,Georgetown University,Government Affairs Institute,Medicaid,Medicare,Planned Parenthood,Public Health Service Act,Rep. Tom Cole,Tom Cole,entitlement programs",Planned Parenthood,"Abortion,Congress,Congressional Rules,Federal Budget",politifact,http://www.politifact.com,http://www.politifact.com/truth-o-meter/statements/2015/sep/29/tom-cole/there-planned-parenthood-funding-bill-stops-govern/,English
http://data.gesis.org/claimskg/claim_review/c942b256-29b0-5929-a3bb-3c8084e7a1b1,"'In 2010 alone, 1,270 infants were reported to have died following attempted abortions and notably that is only one year.'",2013-04-09,1,FALSE,Americans United for Life,"Americans United for Life says 1,270 babies died after attempted abortions in 2010","Alan Guttmacher Institute,Americans United for Life,Cary Pigman,Centers for Disease Control and Prevention,Charmaine Yoest,George W. Bush,Guttmacher Institute,Kermit Gosnell,abortion,age.A,an 'other,digestive system,emergency physician,fetus,late-term abortion,medical codes,perinatal period,the trial",,Abortion,politifact,http://www.politifact.com,http://www.politifact.com/florida/statements/2013/apr/16/americans-united-life/americans-united-life-says-1270-babies-survived-ab/,English
http://data.gesis.org/claimskg/claim_review/cdefd509-8c5a-573c-b1fd-1a7e49b9e1fb,A video shows Dutch politician Tunahan Kuzu putting a grilled cheese in his pocket before an interview.,Unknown,1,FALSE,Unknown,Did This Dutch Politician Put a Grilled Cheese Sandwich in His Pocket Before an Interview?,"Tunahan Kuzu,Twitter,grilled cheese sandwich,iPhone",Tunahan Kuzu,"grilled cheese, tunahan kuzu",snopes,http://www.snopes.com,https://www.snopes.com/fact-check/cheese-phone-pocket/,English
http://data.gesis.org/claimskg/claim_review/079555cd-a2f7-5b8c-a650-187f6b4ddc54,Cameron Diaz was cast to portray Maya Angelou in a new biographical film.,Unknown,1,FALSE,Unknown,"No, Cameron Diaz Wasn’t Cast to Play Maya Angelou in a Biopic","Back to the Future,Birdy,Cameron Diaz,I Know Why the Caged Bird Sings,Maya Angelou,Michael J. Fox,press time","Cameron Diaz,Maya Angelou,biographical film","cameron diaz, maya angelou, oscars, stubhill news",snopes,http://www.snopes.com,https://www.snopes.com/fact-check/cameron-diaz-maya-angelou/,English
http://data.gesis.org/claimskg/claim_review/059a2ff1-716a-5e1d-83e4-5bb8ed702369,Former President Barack Obama was silent on a shooting that targeted Republican congressmen but praised a former drug dealer.,Unknown,1,FALSE,Unknown,"Was Obama Silent on Shooting of Republicans, Reemerging Only to Praise a Drug Dealer?","Alexandria, Virginia,Barack Obama,Daily Wire,Jay Z,Jay-Z,Jeff Flake,Politico,Republican,Shawn Carter,Songwriters Hall of Fame,Steve Scalise,U.S. Capitol police,U.S. Capitol police officer,U.S.-Mexican border,Vanity Fair,congressional baseball game,crack cocaine,hip hop","Barack Obama,Republican","barack obama, mass shooting, steve scalise shot",snopes,http://www.snopes.com,https://www.snopes.com/fact-check/obama-virginia-praise/,English
http://data.gesis.org/claimskg/claim_review/cf54e833-fb9f-565c-bff8-f371e6efd9b3,Whoopi Goldberg called Judge Jeanine  Pirro a 'sand n***er' after the latter's appearance on 'The View.',Unknown,1,FALSE,Unknown,Did Whoopi Goldberg Call Judge Jeanine  Pirro a ‘Sand N***er?’,"ABC,Fox News,Fox News Channel,Jeanine Pirro,Judge Jeanine Pirro,Justice with Judge Jeanine,Twitter,Whoopi Goldberg,nigger,president of the United States,the Fox,twitter","Judge Jeanine  Pirro,Whoopi Goldberg","Jeanine Pirro, the view, whoopi goldberg",snopes,http://www.snopes.com,https://www.snopes.com/fact-check/goldberg-pirro-view-spat/,English
http://data.gesis.org/claimskg/claim_review/bdc24a17-5e50-557d-8fea-f27daa064087,"Says that as Providence’s mayor, David Cicilline said the city had a 'world-class … school system. Not only did Providence not have a world-class school system but as measured, was amongst the last school system in the entire country.'",2012-08-28,1,FALSE,Anthony Gemma,"Anthony Gemma says that when U.S. Rep. David Cicilline was mayor of Providence, the city had """"amongst the last school system in the entire country.""""","David Cicilline,National Center for Education Statistics,Rhode Island’s 1st District,U.S. Department of Education",David Cicilline,"Education,Job Accomplishments",politifact,http://www.politifact.com,http://www.politifact.com/rhode-island/statements/2012/aug/30/anthony-gemma/anthony-gemma-says-when-us-rep-david-cicilline-was/,English
